Agent info:
	Batch size: 64
	Memory length: 50000
	Gamma: 0.99
	Success Margin: -150

Episode: 142/200, rounds: 199, score: -129.0, reward: -0.002363, elapsed time: 0:04:52
Episode: 143/200, rounds: 199, score: -118.3, reward: -0.00495, elapsed time: 0:04:54
Episode: 144/200, rounds: 199, score: -129.6, reward: -0.00804, elapsed time: 0:04:56
Episode: 145/200, rounds: 199, score: -127.6, reward: -0.0145, elapsed time: 0:04:58
Episode: 146/200, rounds: 199, score: -128.7, reward: -0.009577, elapsed time: 0:05:00
Episode: 147/200, rounds: 199, score: -2.316, reward: -0.01489, elapsed time: 0:05:02
Episode: 148/200, rounds: 199, score: -121.4, reward: -0.02706, elapsed time: 0:05:04
Episode: 149/200, rounds: 199, score: -2.656, reward: -0.01179, elapsed time: 0:05:06
Episode: 150/200, rounds: 199, score: -7.347, reward: -0.01148, elapsed time: 0:05:08
Episode: 151/200, rounds: 199, score: -237.5, reward: -0.003652, elapsed time: 0:05:10
Episode: 152/200, rounds: 199, score: -300.3, reward: -0.01023, elapsed time: 0:05:12
Episode: 153/200, rounds: 199, score: -345.6, reward: -0.009405, elapsed time: 0:05:15
Episode: 154/200, rounds: 199, score: -3.719, reward: -0.01405, elapsed time: 0:05:17
Episode: 155/200, rounds: 199, score: -236.0, reward: -0.006642, elapsed time: 0:05:19
Episode: 156/200, rounds: 199, score: -248.4, reward: -0.01038, elapsed time: 0:05:21
Episode: 157/200, rounds: 199, score: -4.152, reward: -0.01208, elapsed time: 0:05:23
Episode: 158/200, rounds: 199, score: -369.8, reward: -0.03832, elapsed time: 0:05:25
Episode: 159/200, rounds: 199, score: -385.2, reward: -0.03468, elapsed time: 0:05:27
Episode: 160/200, rounds: 199, score: -249.0, reward: -0.002882, elapsed time: 0:05:30
Episode: 161/200, rounds: 199, score: -130.7, reward: -0.008771, elapsed time: 0:05:32
Episode: 162/200, rounds: 199, score: -125.6, reward: -0.001282, elapsed time: 0:05:34
Episode: 163/200, rounds: 199, score: -116.4, reward: -0.005883, elapsed time: 0:05:37
Episode: 164/200, rounds: 199, score: -125.8, reward: -0.006347, elapsed time: 0:05:39
Episode: 165/200, rounds: 199, score: -119.6, reward: -0.009921, elapsed time: 0:05:42
Episode: 166/200, rounds: 199, score: -241.8, reward: -0.008609, elapsed time: 0:05:45
Episode: 167/200, rounds: 199, score: -119.3, reward: -0.01571, elapsed time: 0:05:47
Episode: 168/200, rounds: 199, score: -122.2, reward: -0.001227, elapsed time: 0:05:49
Task was solved at episode 167
